Distance_in,log10(Ne),Ne
0.38923,13.119,1.31522E+13
0.48342,13.032,1.07647E+13
1.0486,12.778,5.99791E+12
1.5196,12.609,4.06443E+12
2.4615,12.384,2.42103E+12
3.215,12.259,1.81552E+12
3.9686,12.114,1.30017E+12
5.2873,11.975,9.44061E+11
6.3234,11.865,7.32825E+11
8.5841,11.74,5.49541E+11
9.4318,11.677,4.75335E+11
10.656,11.615,4.12098E+11
12.634,11.538,3.45144E+11
14.518,11.475,2.98538E+11
16.779,11.398,2.50035E+11
21.018,11.298,1.98609E+11
26.952,11.173,1.48936E+11
40.892,10.98,95499258602
53.232,10.841,69342580602
